NC_007558.1	335103
NC_007557.1	335103
NC_007552.1	335103
NC_007551.1	335103
NC_007550.1	335103
NC_007549.1	335103
NC_005235.1	3052477
NC_005234.1	3052477
NC_005233.1	3052477
NC_021589.1	994995
NC_021588.1	994995
NC_021587.1	994995
NC_021586.1	994995
NC_021585.1	994995
NC_021584.1	994995
NC_021583.1	994995
NC_021582.1	994995
NC_021581.1	994995
NC_006317.1	2907957
NC_005219.1	3052480
NC_005218.1	3052480
NC_021580.1	994995
NC_021590.1	994995
NC_004910.1	130760
NC_002204.1	518987
NC_007361.1	93838
NC_007360.1	93838
NC_007359.1	93838
NC_007357.1	93838
NC_004912.1	130760
NC_004911.1	130760
NC_004909.1	130760
NC_004908.1	130760
NC_027026.1	1280920
NC_026314.1	2773293
NC_001803.1	208893
NC_024625.1	1346829
NC_014955.1	909331
NC_001612.1	138948
NC_001472.1	138949
NC_005946.1	10493
NC_001412.1	10840
NC_003310.1	10244
NC_026440.1	1605721
NC_025963.1	1579460
NC_025412.1	1560514
NC_024697.1	1474867
NC_024486.1	1520006
NC_024446.1	648998
NC_023848.1	1465751
NC_023841.1	754069
NC_023615.1	345198
NC_023613.1	1301280
NC_023611.1	345585
NC_023423.1	1450746
NC_022613.1	1408258
NC_022612.1	1408257
NC_022098.1	1349410
NC_021901.1	345198
NC_021858.1	1349409
NC_021312.1	251749
NC_021249.1	1293539
NC_021247.1	1293540
NC_021246.1	1293572
NC_021221.1	172861
NC_020864.1	755272
NC_020852.1	754064
NC_020840.1	754070
NC_020104.1	1269028
NC_017979.1	1193422
NC_016924.1	930275
NC_014564.2	878329
NC_016072.1	1094892
NC_015960.1	1076255
NC_015326.1	999883
NC_015323.1	190063
NC_014969.1	190065
NC_014789.1	696472
NC_014766.1	880162
NC_014767.1	880161
NC_014765.1	880159
NC_014649.1	212035
NC_014637.1	693272
NC_013756.1	694581
NC_013288.1	642926
NC_011646.1	491893
NC_011335.1	158683
NC_004037.2	114430
NC_009899.1	380598
NC_009233.1	260797
NC_008724.1	411359
NC_008603.1	399781
NC_008518.1	328615
NC_008361.1	113370
NC_008030.1	1285600
NC_007346.1	181082
NC_006966.1	305674
NC_006549.1	262968
NC_005902.1	256729
NC_005832.1	265294
NC_005337.1	129727
NC_004003.1	376852
NC_003494.1	180170
NC_003038.1	176652
NC_003027.1	376849
NC_002642.1	132475
NC_000899.1	190064
NC_001720.1	190061
NC_027213.1	10256
NC_001659.2	10497
NC_024451.1	72201
NC_024447.1	10264
NC_023426.1	62099
NC_021248.1	10288
NC_017940.1	84739
NC_000852.5	10506
NC_015780.1	68347
NC_011183.1	39420
NC_009898.1	46021
NC_008291.1	28871
NC_008187.1	345201
NC_005336.1	10258
NC_005309.1	44088
NC_005179.1	38804
NC_003663.2	10243
NC_004105.1	12643
NC_004002.1	10266
NC_003391.1	28873
NC_003389.1	10276
NC_001132.2	10273
NC_002687.1	37665
NC_002520.1	28321
NC_001824.1	36363
NC_002188.1	10261
NC_001266.1	10271
NC_001993.1	83191
